,block_id,gadm_code,country_code,block_area,building_area,building_count,building_layers,k_complexity
220,GAB.1.1_1_220,GAB.1.1_1,GAB,133051.98,0.0,0,0,1
221,GAB.1.1_1_221,GAB.1.1_1,GAB,5953.75,0.0,0,0,1
222,GAB.1.1_1_222,GAB.1.1_1,GAB,96942.66,0.0,0,0,1
223,GAB.1.1_1_223,GAB.1.1_1,GAB,42635633.84,0.0,2,"1,1",2
224,GAB.1.1_1_224,GAB.1.1_1,GAB,3186056.07,0.0,0,0,1
225,GAB.1.1_1_225,GAB.1.1_1,GAB,697310.38,0.0,0,0,1
226,GAB.1.1_1_226,GAB.1.1_1,GAB,130039099.79,0.0,0,0,1
227,GAB.1.1_1_227,GAB.1.1_1,GAB,4354115.48,0.0,0,0,1
228,GAB.1.1_1_228,GAB.1.1_1,GAB,26558789.38,0.0,0,0,1
229,GAB.1.1_1_229,GAB.1.1_1,GAB,92348682.33,0.0,0,0,1
230,GAB.1.1_1_230,GAB.1.1_1,GAB,10788620.24,0.0,0,0,1
231,GAB.1.1_1_231,GAB.1.1_1,GAB,33269324.4,0.0,0,0,1
232,GAB.1.1_1_232,GAB.1.1_1,GAB,15647022.98,0.0,0,0,1
233,GAB.1.1_1_233,GAB.1.1_1,GAB,7068776.17,0.0,105,"45,46,14",3
234,GAB.1.1_1_234,GAB.1.1_1,GAB,729664.42,0.0,0,0,1
235,GAB.1.1_1_235,GAB.1.1_1,GAB,25557166.18,0.0,15,"14,1",2
236,GAB.1.1_1_236,GAB.1.1_1,GAB,479355902.45,0.0,97,"31,33,27,6",4
237,GAB.1.1_1_237,GAB.1.1_1,GAB,55.36,0.0,0,0,1
238,GAB.1.1_1_238,GAB.1.1_1,GAB,4690996.28,0.0,0,0,1
239,GAB.1.1_1_239,GAB.1.1_1,GAB,3496425.39,0.0,0,0,1
240,GAB.1.1_1_240,GAB.1.1_1,GAB,10190311.84,0.0,0,0,1
241,GAB.1.1_1_241,GAB.1.1_1,GAB,2060970.31,0.0,0,0,1
242,GAB.1.1_1_242,GAB.1.1_1,GAB,16912152.37,0.0,26,"14,12",2
243,GAB.1.1_1_243,GAB.1.1_1,GAB,2128400.21,0.0,2,2,1
244,GAB.1.1_1_244,GAB.1.1_1,GAB,3669976.58,0.0,12,"10,2",2
245,GAB.1.1_1_245,GAB.1.1_1,GAB,2169317.2,0.0,8,"6,2",2
246,GAB.1.1_1_246,GAB.1.1_1,GAB,1619885.87,0.0,59,"33,22,4",3
247,GAB.1.1_1_247,GAB.1.1_1,GAB,137240.74,0.0,76,"25,32,11,8",4
248,GAB.1.1_1_248,GAB.1.1_1,GAB,1405128.37,0.0,226,"91,79,43,12,1",5
249,GAB.1.1_1_249,GAB.1.1_1,GAB,53153889.96,0.0,46,"31,14,1",3
250,GAB.1.1_1_250,GAB.1.1_1,GAB,100.07,0.0,0,0,1
251,GAB.1.1_1_251,GAB.1.1_1,GAB,21693.43,0.0,0,0,1
252,GAB.1.1_1_252,GAB.1.1_1,GAB,145671.97,0.0,0,0,1
253,GAB.1.1_1_253,GAB.1.1_1,GAB,39127.07,0.0,0,0,1
254,GAB.1.1_1_254,GAB.1.1_1,GAB,15047.92,0.0,0,0,1
255,GAB.1.1_1_255,GAB.1.1_1,GAB,65206.84,0.0,0,0,1
256,GAB.1.1_1_256,GAB.1.1_1,GAB,140646.71,0.0,0,0,1
257,GAB.1.1_1_257,GAB.1.1_1,GAB,17842.54,0.0,34,"6,8,7,6,5,2",6
258,GAB.1.1_1_258,GAB.1.1_1,GAB,34473.02,0.0,52,"12,16,16,8",4
259,GAB.1.1_1_259,GAB.1.1_1,GAB,22514.32,0.0,24,"5,8,10,1",4
260,GAB.1.1_1_260,GAB.1.1_1,GAB,51416.87,0.0,0,0,1
261,GAB.1.1_1_261,GAB.1.1_1,GAB,21493.68,0.0,0,0,1
262,GAB.1.1_1_262,GAB.1.1_1,GAB,37587.13,0.0,2,2,1
263,GAB.1.1_1_263,GAB.1.1_1,GAB,515114.19,0.0,0,0,1
264,GAB.1.1_1_264,GAB.1.1_1,GAB,44993013.92,0.0,101,"67,34",2
265,GAB.1.1_1_265,GAB.1.1_1,GAB,25269179.52,0.0,85,"40,36,8,1",4
266,GAB.1.1_1_266,GAB.1.1_1,GAB,934284.0,0.0,0,0,1
267,GAB.1.1_1_267,GAB.1.1_1,GAB,592736.93,0.0,0,0,1
268,GAB.1.1_1_268,GAB.1.1_1,GAB,1021247.68,0.0,0,0,1
269,GAB.1.1_1_269,GAB.1.1_1,GAB,4154806.99,0.0,22,"13,8,1",3
270,GAB.1.1_1_270,GAB.1.1_1,GAB,1414270.37,0.0,0,0,1
